loss,top5_acc,val_loss,val_top5_acc,learning_rate
3.0957906246185303,0.39110267162323,2.911404609680176,0.4057142734527588,0.0010000000474974513
2.8790676593780518,0.4311344623565674,2.905794620513916,0.44857144355773926,0.0010000000474974513
2.854055881500244,0.44114241003990173,2.8994665145874023,0.44285714626312256,0.0010000000474974513
2.8498916625976562,0.4377249479293823,2.9026126861572266,0.40857142210006714,0.0010000000474974513
2.839362382888794,0.4429730772972107,2.9010562896728516,0.43142861127853394,0.0010000000474974513
2.834902048110962,0.44169148802757263,2.894465446472168,0.4399999976158142,0.0010000000474974513
2.826835870742798,0.44748902320861816,2.895704746246338,0.44285717606544495,0.0010000000474974513
2.825387716293335,0.4455361068248749,2.8968024253845215,0.43142855167388916,0.0010000000474974513
2.82252836227417,0.4520045816898346,2.8962018489837646,0.4228571355342865,0.0010000000474974513
2.8162412643432617,0.45304203033447266,2.902130365371704,0.44857144355773926,0.0010000000474974513
2.811520576477051,0.45944955945014954,2.9036316871643066,0.4114286005496979,0.0010000000474974513
2.8049683570861816,0.4635992646217346,2.90579891204834,0.42571431398391724,0.0005000000237487257
2.800813674926758,0.467931866645813,2.902264356613159,0.41999998688697815,0.0005000000237487257
2.79801607131958,0.4670775830745697,2.904902696609497,0.41999998688697815,0.0005000000237487257
2.796299934387207,0.4697627127170563,2.907900333404541,0.42571425437927246,0.0005000000237487257
2.7918813228607178,0.4742172956466675,2.907536506652832,0.4142857491970062,0.0005000000237487257
