loss,top10_acc,top5_acc,val_loss,val_top10_acc,val_top5_acc,learning_rate
3.413607120513916,0.46060898900032043,0.251601904630661,3.087090492248535,0.6428571343421936,0.3914285898208618,0.0010000000474974513
2.95450496673584,0.698358416557312,0.41703787446022034,2.940314292907715,0.7085714936256409,0.4457142949104309,0.0010000000474974513
2.8654916286468506,0.7214255332946777,0.441813588142395,2.9337997436523438,0.6742857098579407,0.44285717606544495,0.0010000000474974513
2.8416075706481934,0.7297857403755188,0.4462684094905853,2.8992626667022705,0.7171429395675659,0.43142861127853394,0.0010000000474974513
2.830533266067505,0.7285043001174927,0.45163846015930176,2.8868517875671387,0.6800000071525574,0.46000000834465027,0.0010000000474974513
2.8230738639831543,0.7349117398262024,0.45090624690055847,2.892273187637329,0.7114285826683044,0.42571431398391724,0.0010000000474974513
2.8248987197875977,0.7347896695137024,0.4510892927646637,2.904423236846924,0.7114285826683044,0.4485713839530945,0.0010000000474974513
2.818906784057617,0.7330811023712158,0.44578027725219727,2.8939459323883057,0.6942857503890991,0.4514285922050476,0.0010000000474974513
2.8157787322998047,0.7363153100013733,0.4537135064601898,2.9005179405212402,0.6885714530944824,0.44857147336006165,0.0010000000474974513
2.8113293647766113,0.7341794967651367,0.4561542868614197,2.902209520339966,0.6971428394317627,0.45428571105003357,0.0010000000474974513
2.8022522926330566,0.7396716475486755,0.4580460488796234,2.888026237487793,0.7085714936256409,0.4457142651081085,0.0005000000237487257
2.800034284591675,0.741075336933136,0.4598767161369324,2.8897759914398193,0.6885713934898376,0.4342857301235199,0.0005000000237487257
2.8013203144073486,0.7411972880363464,0.45676448941230774,2.895127296447754,0.6971428394317627,0.44285717606544495,0.0005000000237487257
2.7986860275268555,0.7407698631286621,0.46115827560424805,2.9086978435516357,0.7114285230636597,0.4399999976158142,0.0005000000237487257
2.7995152473449707,0.742966890335083,0.46128034591674805,2.896596670150757,0.6971427798271179,0.45428574085235596,0.0005000000237487257
